EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 12-06-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
0.1mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTIAGO DE COMPOSTELA/LABACOLLA, SPAIN (STAID: 1394)
Blended and updated with sources:19729 908042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1394, 19729,19440814,    0,    0
  1394, 19729,19440815,    0,    0
  1394, 19729,19440816,    0,    0
  1394, 19729,19440817,    0,    0
  1394, 19729,19440818,    7,    0
  1394, 19729,19440819,  375,    0
  1394, 19729,19440820,  177,    0
  1394, 19729,19440821,   22,    0
  1394, 19729,19440822,   40,    0
  1394, 19729,19440823,    0,    0
  1394, 19729,19440824,    0,    0
  1394, 19729,19440825,    0,    0
  1394, 19729,19440826,    0,    0
  1394, 19729,19440827,    0,    0
  1394, 19729,19440828,    0,    0
  1394, 19729,19440829,    0,    0
  1394, 19729,19440830,    0,    0
  1394, 19729,19440831,    0,    0
  1394, 19729,19440901,    0,    0
  1394, 19729,19440902,    0,    0
  1394, 19729,19440903,    0,    0
  1394, 19729,19440904,    0,    0
  1394, 19729,19440905,   48,    0
  1394, 19729,19440906,  108,    0
  1394, 19729,19440907,   30,    0
  1394, 19729,19440908,    0,    0
  1394, 19729,19440909,  248,    0
  1394, 19729,19440910,  115,    0
  1394, 19729,19440911,    0,    0
  1394, 19729,19440912,    0,    0
  1394, 19729,19440913,    0,    0
  1394, 19729,19440914,    0,    0
  1394, 19729,19440915,    0,    0
  1394, 19729,19440916,    0,    0
  1394, 19729,19440917,    0,    0
  1394, 19729,19440918,    0,    0
  1394, 19729,19440919,    0,    0
  1394, 19729,19440920,    0,    0
  1394, 19729,19440921,   18,    0
  1394, 19729,19440922,   62,    0
  1394, 19729,19440923,    0,    0
  1394, 19729,19440924,    0,    0
  1394, 19729,19440925,    0,    0
  1394, 19729,19440926,    0,    0
  1394, 19729,19440927,    0,    0
  1394, 19729,19440928,    0,    0
  1394, 19729,19440929,    0,    0
  1394, 19729,19440930,    0,    0
  1394, 19729,19441001,    0,    0
  1394, 19729,19441002,    0,    0
  1394, 19729,19441003,    0,    0
  1394, 19729,19441004,    0,    0
  1394, 19729,19441005,   63,    0
  1394, 19729,19441006,    0,    0
  1394, 19729,19441007,   67,    0
  1394, 19729,19441008,   68,    0
  1394, 19729,19441009,    0,    0
  1394, 19729,19441010,    0,    0
  1394, 19729,19441011,  340,    0
  1394, 19729,19441012,   33,    0
  1394, 19729,19441013,  103,    0
  1394, 19729,19441014,  158,    0
  1394, 19729,19441015,   76,    0
  1394, 19729,19441016,  122,    0
  1394, 19729,19441017,  110,    0
  1394, 19729,19441018,   74,    0
  1394, 19729,19441019,   50,    0
  1394, 19729,19441020,   33,    0
  1394, 19729,19441021,    0,    0
  1394, 19729,19441022,    0,    0
  1394, 19729,19441023,    0,    0
  1394, 19729,19441024,    0,    0
  1394, 19729,19441025,    0,    0
  1394, 19729,19441026,    0,    0
  1394, 19729,19441027,   32,    0
  1394, 19729,19441028,   50,    0
  1394, 19729,19441029,   70,    0
  1394, 19729,19441030,    0,    0
  1394, 19729,19441031,   11,    0
  1394, 19729,19441101,    0,    0
  1394, 19729,19441102,    0,    0
  1394, 19729,19441103,   90,    0
  1394, 19729,19441104,    0,    0
  1394, 19729,19441105,    0,    0
  1394, 19729,19441106,    0,    0
  1394, 19729,19441107,    0,    0
  1394, 19729,19441108,    0,    0
  1394, 19729,19441109,   50,    0
  1394, 19729,19441110,    0,    0
  1394, 19729,19441111,    0,    0
  1394, 19729,19441112,    0,    0
  1394, 19729,19441113,   40,    0
  1394, 19729,19441114,   80,    0
  1394, 19729,19441115,    0,    0
  1394, 19729,19441116,    0,    0
  1394, 19729,19441117,    0,    0
  1394, 19729,19441118,   30,    0
  1394, 19729,19441119,    0,    0
  1394, 19729,19441120,   60,    0
  1394, 19729,19441121,  192,    0
